"TOA5","Node_A","CR1000","55589","CR1000.Std.25","CPU:Ryan_Test_20130619_ModifiedByGess.CR1","53358","Table1"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg","LWmV_Avg","LWMDry_Tot","LWMCon_Tot","LWMWet_Tot","Rain_mm_Tot","WS_ms_Avg","WS_ms_Max","WS_ms_TMx","WS_ms_Min","WS_ms_TMn","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Avg","AirTC_Max","AirTC_Min","PAR_Den_Avg","PAR_Tot_Tot"
"TS","RN","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","mV","Minutes","Minutes","Minutes","mm","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","Deg","Deg","Deg C","Deg C","Deg C","umol/s/m^2","mmol/m^2"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Tot","Tot","Tot","Avg","Max","TMx","Min","TMn","WVc","WVc","WVc","Avg","Max","Min","Avg","Tot"
"2013-08-20 12:00:00",0,7999,0,0.001,7999,0.001,0.004,7999,0.001,0.005,272.1,46.08,0,0,0,2.621,5,"2013-08-20 11:54:50",0,"2013-08-20 11:14:00",2.621,15.13,19.55,-1.237,-1.026,-1.54,1753,4847.303
"2013-08-20 13:00:00",1,7999,0.21,0.823,7999,0.316,2.38,7999,0.367,2.584,272,60,0,0,0,2.244,4.55,"2013-08-20 12:10:40",0,"2013-08-20 12:28:10",2.244,352.4,20.22,-1.129,-0.889,-1.439,2473,8904.429
"2013-08-20 14:00:00",2,7999,0.211,1.792,7999,0.316,4.187,7999,0.367,2.761,272,60,0,0,0,1.704,3.95,"2013-08-20 13:25:50",0,"2013-08-20 13:00:20",1.704,338.2,21.95,-0.993,-0.655,-1.34,2492,8972.035
"2013-08-20 15:00:00",3,7999,0.209,1.933,7999,0.32,4.573,7999,0.379,3.007,272.1,60,0,0,0,2.385,4.25,"2013-08-20 14:59:30",0,"2013-08-20 14:02:45",2.385,334.6,29.6,-0.737,-0.486,-1.066,2092,7531.39
"2013-08-20 16:00:00",4,7999,0.209,1.87,7999,0.316,4.024,7999,0.376,3.245,272.1,60,0,0,0,2.452,4.7,"2013-08-20 15:08:00",0.8,"2013-08-20 15:58:30",2.452,342.3,20.15,-0.537,-0.213,-0.897,2166,7796.442
"2013-08-20 17:00:00",5,7999,0.209,2.209,7999,0.316,4.617,7999,0.373,3.467,272,60,0,0,0,2.002,4.1,"2013-08-20 16:38:15",0,"2013-08-20 16:20:15",2.002,317.8,17.15,-0.244,-0.014,-0.59,2403,8651.528
"2013-08-20 18:00:00",6,7999,0.21,2.827,7999,0.316,4.924,7999,0.368,3.71,272,60,0,0,0,1.866,3.35,"2013-08-20 17:58:40",0,"2013-08-20 17:04:45",1.866,314.7,22.46,-0.028,0.123,-0.321,2087,7512.276
"2013-08-20 19:00:00",7,7999,0.209,2.877,7999,0.318,4.643,7999,0.365,3.881,272.1,60,0,0,0,2.701,4.1,"2013-08-20 18:35:25",1.4,"2013-08-20 18:02:20",2.701,286.5,12.19,-0.168,0.089,-0.458,1967,7080.795
"2013-08-20 20:00:00",8,7999,0.21,2.586,7999,0.322,3.714,7999,0.365,4.072,273.2,47.67,12.33,0,0,2.384,3.8,"2013-08-20 19:06:30",0.8,"2013-08-20 19:59:30",2.384,285.4,13.5,-0.158,0.157,-0.629,1615,5813.946
"2013-08-20 21:00:00",9,7999,0.211,1.74,7999,0.318,2.246,7999,0.366,4.149,281.9,0,45.92,14.08,0,2.047,3.8,"2013-08-20 20:34:00",0,"2013-08-20 20:05:05",2.047,286.4,18.54,-0.223,0.198,-0.731,838,3015.962
"2013-08-20 22:00:00",10,7999,0.212,1.501,7999,0.319,1.888,7999,0.374,3.893,292.6,0,0,60,0,2.071,3.5,"2013-08-20 21:04:50",1.1,"2013-08-20 21:17:45",2.071,314.5,18.67,0.139,0.301,-0.109,476.8,1716.522
"2013-08-20 23:00:00",11,7999,0.212,0.929,7999,0.324,1.326,7999,0.371,3.753,280.9,0,38.75,21.25,0,2.147,3.2,"2013-08-20 22:56:55",1.1,"2013-08-20 22:01:55",2.147,301.3,9.58,-0.033,0.13,-0.383,133.9,482.1506
"2013-08-21 00:00:00",12,7999,0.21,0.437,7999,0.326,0.513,7999,0.372,3.638,279.4,0,60,0,0,1.898,3.05,"2013-08-20 23:01:40",1.1,"2013-08-20 23:13:25",1.898,272.5,9.52,-0.495,-0.212,-0.825,34.45,124.0339
"2013-08-21 01:00:00",13,7999,0.211,0.288,7999,0.324,0.378,7999,0.368,3.439,282.7,0,60,0,0,2.075,3.2,"2013-08-21 00:53:55",1.25,"2013-08-21 00:10:00",2.075,258.7,6.792,-0.699,-0.517,-1.06,3.413,12.28602
"2013-08-21 02:00:00",14,7999,0.21,0.103,7999,0.325,0.219,7999,0.362,3.251,282.8,0,60,0,0,2.31,3.35,"2013-08-21 01:06:50",1.25,"2013-08-21 01:32:15",2.31,255.5,5.781,-0.812,-0.684,-1.061,0.814,2.931236
"2013-08-21 03:00:00",15,7999,0.211,-0.004,7999,0.324,-0.044,7999,0.378,3.104,281.9,0,60,0,0,2.057,3.35,"2013-08-21 02:57:45",0.95,"2013-08-21 02:32:55",2.057,252,6.595,-0.643,-0.513,-0.923,0.578,2.079792
"2013-08-21 04:00:00",16,7999,0.209,-0.198,7999,0.322,-0.359,7999,0.367,2.997,281.1,0,60,0,0,2.619,3.8,"2013-08-21 03:06:15",1.7,"2013-08-21 03:08:05",2.619,256.6,8.58,-0.801,-0.581,-1.061,0.879,3.162985
"2013-08-21 05:00:00",17,7999,0.21,-0.406,7999,0.32,-0.601,7999,0.38,2.887,279.7,0,60,0,0,2.404,3.35,"2013-08-21 04:51:50",1.4,"2013-08-21 04:59:45",2.404,245.5,5.33,-0.861,-0.684,-1.163,4.848,17.45366
"2013-08-21 06:00:00",18,7999,0.209,-0.668,7999,0.32,-0.891,7999,0.362,2.726,278.7,0,60,0,0,2.006,3.2,"2013-08-21 05:41:55",1.25,"2013-08-21 05:11:45",2.006,224.6,9.4,-0.793,-0.513,-1.163,50.94,183.3813
