"TOA5","Node_B","CR1000","55588","CR1000.Std.25","CPU:Ryan_Test_20130619_ModifiedByGess.CR1","53358","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2013-08-21 00:00:00",0,12.6
"2013-08-22 00:00:00",1,12.58
"2013-08-23 00:00:00",2,12.63
"2013-08-24 00:00:00",3,12.64
"2013-08-25 00:00:00",4,12.72
"2013-08-26 00:00:00",5,12.65
"2013-08-27 00:00:00",6,12.75
"2013-08-28 00:00:00",7,12.79
"2013-08-29 00:00:00",8,12.73
"2013-08-30 00:00:00",9,12.64
"2013-08-31 00:00:00",10,12.72
"2013-09-01 00:00:00",11,12.78
"2013-09-02 00:00:00",12,12.73
"2013-09-03 00:00:00",13,12.76
"2013-09-04 00:00:00",14,12.7
"2013-09-05 00:00:00",15,12.67
"2013-09-06 00:00:00",16,12.66
"2013-09-07 00:00:00",17,12.61
"2013-09-08 00:00:00",18,12.74
"2013-09-09 00:00:00",19,12.68
"2013-09-10 00:00:00",20,12.63
"2013-09-11 00:00:00",21,12.65
"2013-09-12 00:00:00",22,12.54
"2013-09-13 00:00:00",23,12.59
"2013-09-14 00:00:00",24,12.59
"2013-09-15 00:00:00",25,12.54
"2013-09-16 00:00:00",26,12.62
"2013-09-17 00:00:00",27,12.59
"2013-09-18 00:00:00",28,12.58
"2013-09-19 00:00:00",29,12.61
"2013-09-20 00:00:00",30,12.57
"2013-09-21 00:00:00",31,12.58
"2013-09-22 00:00:00",32,12.64
"2013-09-23 00:00:00",33,12.64
"2013-09-24 00:00:00",34,12.69
"2013-09-25 00:00:00",35,12.71
"2013-09-26 00:00:00",36,12.71
"2013-09-27 00:00:00",37,12.74
"2013-09-28 00:00:00",38,12.73
"2013-09-29 00:00:00",39,12.72
"2013-09-30 00:00:00",40,12.69
"2013-10-01 00:00:00",41,12.66
"2013-10-02 00:00:00",42,12.66
"2013-10-03 00:00:00",43,12.66
"2013-10-04 00:00:00",44,12.65
"2013-10-05 00:00:00",45,12.63
"2013-10-06 00:00:00",46,12.6
"2013-10-07 00:00:00",47,12.6
"2013-10-08 00:00:00",48,12.66
"2013-10-09 00:00:00",49,12.62
"2013-10-10 00:00:00",50,12.62
"2013-10-11 00:00:00",51,12.6
"2013-10-12 00:00:00",52,12.56
"2013-10-13 00:00:00",53,12.57
"2013-10-14 00:00:00",54,12.57
